x_t,y_t,x_t-1,y_t-1,a_x,a_y,direction
1.827439945191793758e+00,2.788752857916663608e+00,1.817084312237191135e+00,2.939761662062305714e+00,2.692501313840873767e-01,-1.857214347230510487e+00,0.000000000000000000e+00
1.776896922467204876e+00,2.385637256149506502e+00,1.779903638698479229e+00,2.555357207040707568e+00,1.318325109519707106e-01,-1.806064008635233309e+00,0.000000000000000000e+00
1.713175655288292187e+00,1.994563394966146097e+00,1.728897824460257304e+00,2.180494893185559224e+00,-3.545348952432616748e-04,-1.746038739328041656e+00,0.000000000000000000e+00
1.636852102018787170e+00,1.617216970930749786e+00,1.664593100651750923e+00,1.816830346715988087e+00,-1.267643139072153757e-01,-1.677610665664597045e+00,0.000000000000000000e+00
1.548552802779936455e+00,1.255182552595176082e+00,1.587570699334792890e+00,1.465931118259484522e+00,-2.468894555367643351e-01,-1.601283887208511114e+00,0.000000000000000000e+00
1.448950788303429826e+00,9.099377918294450085e-01,1.498462897474914346e+00,1.129270718221520253e+00,-3.602636263147081519e-01,-1.517591358691374293e+00,0.000000000000000000e+00
1.338761341316490050e+00,5.828482767168551293e-01,1.397948888334145767e+00,8.082232338282899775e-01,-4.664630090558400943e-01,-1.427091691962593112e+00,0.000000000000000000e+00
1.218737634261192415e+00,2.751630385867407380e-01,1.286750504045704346e+00,5.040585427685614350e-01,-5.651075433134280512e-01,-1.330365895265748888e+00,0.000000000000000000e+00
1.089666267285276602e+00,-1.198927771279814647e-02,1.165627813390580192e+00,2.179381351264181033e-01,-6.558619257262063851e-01,-1.228014067141974808e+00,0.000000000000000000e+00
9.523627304563002660e-01,-2.776035746462026110e-01,1.035374618932461965e+00,-4.908844793073125629e-02,-7.384363701114368128e-01,-1.120652062139527283e+00,0.000000000000000000e+00
8.076668140474541069e-01,-5.208007916755156286e-01,8.968138776821649172e-01,-2.960865534492969631e-01,-8.125871283426410185e-01,-1.008908145306226967e+00,0.000000000000000000e+00
6.564379905243786784e-01,-7.408297248978079619e-01,7.507930693582410830e-01,-5.222387318792423017e-01,-8.781167742083971772e-01,-8.934196521582192796e-01,0.000000000000000000e+00
4.995507915314687519e-01,-9.370681810105460086e-01,5.981795360894787139e-01,-7.268464291780182274e-01,-9.348742535710102830e-01,-7.748296704599619833e-01,0.000000000000000000e+00
3.378902027370879746e-01,-1.109023473170558161e+00,4.398558170710999971e-01,-9.093310598976031001e-01,-9.827547052290929175e-01,-6.537837597172554416e-01,0.000000000000000000e+00
1.723470988543212845e-01,-1.256332269401757351e+00,2.767150012433924888e-01,-1.069234468290048756e+00,-1.021699057928710852e+00,-5.309267237837349551e-01,0.000000000000000000e+00
3.813740511978879789e-03,-1.378759807182171837e+00,1.096561205137421696e-01,-1.206218787339897069e+00,-1.051693409961926839e+00,-4.068994514125071071e-01,0.000000000000000000e+00
-1.668206460852382222e-01,-1.476198490690077136e+00,-6.042039460475784329e-02,-1.320065708398693527e+00,-1.072768198733377476e+00,-2.823358389556905879e-01,0.000000000000000000e+00
-3.386741865927985762e-01,-1.548665889900313397e+00,-2.326171758074875306e-01,-1.410675176746362558e+00,-1.084997168563154313e+00,-1.578598087270559336e-01,0.000000000000000000e+00
-5.108765538508873716e-01,-1.596302163284773590e+00,-4.060442739664786860e-01,-1.478063530925481706e+00,-1.088496145822580807e+00,-3.408243580319437332e-02,0.000000000000000000e+00
-6.825730228731200500e-01,-1.619366928275859152e+00,-5.798233928689803252e-01,-1.522361106077756654e+00,-1.083421631267252661e+00,8.840080474933112442e-02,0.000000000000000000e+00
-7.281647349597660801e-01,-1.585113930930204473e+00,-7.530919813352211500e-01,-1.543809323748273732e+00,1.814976335386753181e-01,3.741164864986981642e-01,1.000000000000000000e+00
-5.688821619137979235e-01,-1.473334437896799187e+00,-7.991011488154766695e-01,-1.511957026826055150e+00,2.236530579361311943e+00,7.605679923849794077e-01,1.000000000000000000e+00
-4.154046688663551867e-01,-1.340761202527717799e+00,-6.383601227704267522e-01,-1.408011857707394787e+00,2.178301550557702804e+00,8.642199499170021282e-01,1.000000000000000000e+00
-2.683723321242101334e-01,-1.188460702260715873e+00,-4.834773302872322764e-01,-1.284730323706082977e+00,2.113652106925527629e+00,9.625557660684795902e-01,1.000000000000000000e+00
-1.283807598078809398e-01,-1.017575312518115060e+00,-3.350987084595135612e-01,-1.143104155725709115e+00,2.043028295599172317e+00,1.055197107081783381e+00,1.000000000000000000e+00
4.020955517738037006e-03,-8.293161722165256489e-01,-1.938253190266816806e-01,-9.841956631688992818e-01,1.966896700265499121e+00,1.141801202969926488e+00,1.000000000000000000e+00
1.283320144656171502e-01,-6.249558527178312728e-01,-6.021128225806034878e-02,-8.091310994842684234e-01,1.885741735410719544e+00,1.222061827316052396e+00,1.000000000000000000e+00
2.441014153181233770e-01,-4.058208702250297728e-01,6.523801694595300626e-02,-6.190938449309040248e-01,1.800062906627586834e+00,1.295710077664315119e+00,1.000000000000000000e+00
3.509291834162541757e-01,-1.732840816012140850e-01,1.820674473211271460e-01,-4.153174437602372149e-01,1.710372051146167749e+00,1.362514956628355867e+00,1.000000000000000000e+00
4.484673248686065206e-01,7.124299663168480456e-02,2.898733718853953589e-01,-1.990785329916117952e-01,1.617190572567197782e+00,1.422283754822273982e+00,1.000000000000000000e+00
5.364205053708361870e-01,3.263179067707013270e-01,3.883046103803538540e-01,2.831030024826160577e-02,1.521046683527264465e+00,1.474862237672474041e+00,1.000000000000000000e+00
