x_t,y_t,x_t-1,y_t-1,a_x,a_y,direction
1.684816278692627289e+00,8.785709505098802108e-01,1.722500897272997378e+00,1.100444591739234479e+00,1.669086285089424471e-01,-1.452219769376853487e+00,0.000000000000000000e+00
1.616029483045915427e+00,6.283359778477898283e-01,1.670729869116270638e+00,8.450640904608517356e-01,-2.156001791771430809e-02,-1.411496382896842761e+00,0.000000000000000000e+00
1.529307685505836512e+00,3.855759444154909232e-01,1.599708470261448801e+00,5.960229454581920105e-01,-2.028549168369525590e-01,-1.363707212625559606e+00,0.000000000000000000e+00
1.425434739671390894e+00,1.513372503815752224e-01,1.510169434250320908e+00,3.544210780465440469e-01,-3.762262783156518076e-01,-1.309228142370951531e+00,0.000000000000000000e+00
1.305263338653544825e+00,-7.339647954055704415e-02,1.402922078897083091e+00,1.212998962007596077e-01,-5.409782422453099926e-01,-1.248460511438233889e+00,0.000000000000000000e+00
1.169709447206858988e+00,-2.877079894231329704e-01,1.278846797843644856e+00,-1.023616680686909447e-01,-6.964712309833813730e-01,-1.181828632199659834e+00,0.000000000000000000e+00
1.019746533163979674e+00,-4.907495872016582883e-01,1.138889311813860994e+00,-3.156507349029978315e-01,-8.421239780883641446e-01,-1.109777243964106264e+00,0.000000000000000000e+00
8.563996305665407816e-01,-6.817459336950646431e-01,9.840547126507902531e-01,-5.177236564295017995e-01,-9.774152296065753420e-01,-1.032768916949116988e+00,0.000000000000000000e+00
6.807392670700220805e-01,-8.599964199180597513e-01,8.154013335828704800e-01,-7.078087924759098870e-01,-1.101885116050817404e+00,-9.512814201292045801e-01,0.000000000000000000e+00
4.938752882199642369e-01,-1.024877129174711410e+00,6.340344793548587932e-01,-8.852088765409008575e-01,-1.215136194870112485e+00,-8.658050666376324589e-01,0.000000000000000000e+00
2.969506110560309331e-01,-1.175842382536395503e+00,4.411000498798999248e-01,-1.049302968526900637e+00,-1.316834164834953746e+00,-7.768400502376660022e-01,0.000000000000000000e+00
9.113493920240296753e-02,-1.312425868386074335e+00,2.377780909235915896e-01,-1.199547992844823163e+00,-1.406708255350428649e+00,-6.848937861538025862e-01,0.000000000000000000e+00
-1.223815288473044244e-01,-1.434241358745054873e+00,2.527630502322801911e-02,-1.335479862569489029e+00,-1.484551295248975222e+00,-5.904782692680269340e-01,0.000000000000000000e+00
-3.423943671399442001e-01,-1.540983017078627615e+00,-1.951764446195147218e-01,-1.456714192348912862e+00,-1.550219467102915916e+00,-4.941074623413398426e-01,0.000000000000000000e+00
-4.125889435122856996e-01,-1.545006078451154341e+00,-4.223366051511371344e-01,-1.562946604741454859e+00,-3.579048557369325645e-02,1.625984143612509980e-01,1.000000000000000000e+00
-2.348366070645624692e-01,-1.391541631866310302e+00,-4.948115178013766102e-01,-1.566950472785842763e+00,2.470566121708045682e+00,1.169455741492313683e+00,1.000000000000000000e+00
-7.081325342269108314e-02,-1.228691642463349609e+00,-3.112847309298371612e-01,-1.414218178462224085e+00,2.331787516339099753e+00,1.229459881999007242e+00,1.000000000000000000e+00
7.894680759734311326e-02,-1.057444622434251746e+00,-1.419329256744388257e-01,-1.252145118117655720e+00,2.187607872004194931e+00,1.283144214945328487e+00,1.000000000000000000e+00
2.139901197087853701e-01,-8.788107526756937515e-01,1.269223059615600703e-02,-1.081715087923875274e+00,2.038844491790126945e+00,1.330370206841374303e+00,1.000000000000000000e+00
3.339447036160250182e-01,-6.938164782789451035e-01,1.521225506448176668e-01,-9.039334493796840064e-01,1.886320981011326392e+00,1.371033876592336442e+00,1.000000000000000000e+00
4.385202669436825129e-01,-5.034991314979532229e-01,2.759739710816045410e-01,-7.198217505848252262e-01,1.730863067037902159e+00,1.405065619823520739e+00,1.000000000000000000e+00
5.275080078286515928e-01,-3.089016081208985631e-01,3.839467691125921234e-01,-5.304123748609541611e-01,1.573294491861817024e+00,1.432429867458496986e+00,1.000000000000000000e+00
6.007800212281633190e-01,-1.110671223916680078e-01,4.758253597514195410e-01,-3.367432425213021663e-01,1.414432996175440493e+00,1.453124583529677771e+00,1.000000000000000000e+00
6.582883187726741303e-01,8.896593525941880187e-02,5.514776828407176312e-01,-1.398525908155104913e-01,1.255086412912410632e+00,1.467180607892859534e+00,1.000000000000000000e+00
7.000634746794690555e-01,2.901690144052250786e-01,6.108541910640035155e-01,5.922614380676925055e-02,1.096048887304640340e+00,1.474660850168189929e+00,1.000000000000000000e+00
7.262129118347984136e-01,4.915282725451230461e-01,6.539864518705245100e-01,2.594693179541194272e-01,9.380972395473529124e-01,1.475659341836416338e+00,1.000000000000000000e+00
7.369188436431047817e-01,6.920492737468714184e-01,6.809853778791751244e-01,4.598679259926647389e-01,7.819874851412080830e-01,1.470300153979923863e+00,1.000000000000000000e+00
7.324358886262355428e-01,8.907614982434803874e-01,6.920391018667758631e-01,6.594322762715437714e-01,6.284515269050194863e-01,1.458736188670329392e+00,1.000000000000000000e+00
7.130883760286685913e-01,1.086722644545500716e+00,6.874105138753171529e-01,8.571964792052700899e-01,4.781940315284264886e-01,1.441147852467295598e+00,1.000000000000000000e+00
6.792673618427244042e-01,1.279022707017604787e+00,6.674344792872577425e-01,1.052222728861388790e+00,3.318895023695678792e-01,1.417741620905172084e+00,1.000000000000000000e+00
