x_t,y_t,x_t-1,y_t-1,a_x,a_y,direction
2.320590519686297259e+00,1.848591632622432979e+00,2.252622608434608598e+00,2.176982704519453637e+00,1.263373477049029858e-01,-2.411358076647058368e+00,0.000000000000000000e+00
2.280035455638914410e+00,1.558185361237494293e+00,2.223793309988912448e+00,1.875636590467487208e+00,-3.817261794837910945e-03,-2.352481986421941951e+00,0.000000000000000000e+00
2.228906339643958123e+00,1.276454013295347467e+00,2.184244218991180819e+00,1.581770845393251079e+00,-1.290177512158252882e-01,-2.283390495171414347e+00,0.000000000000000000e+00
2.167665313201295962e+00,1.004611972093836458e+00,2.134383366626220191e+00,1.296683364055609244e+00,-2.487463229413075516e-01,-2.204627039257324839e+00,0.000000000000000000e+00
2.096815103955134152e+00,7.438007678612174045e-01,2.074661430920594629e+00,1.021602996130998919e+00,-3.625224227655547415e-01,-2.116771857485606922e+00,0.000000000000000000e+00
2.016895743010820308e+00,4.950849075729003568e-01,2.005568669301208917e+00,7.576848703618241920e-01,-4.699043646050269363e-01,-2.020438402117277210e+00,0.000000000000000000e+00
1.928481163925366282e+00,2.594481669542102464e-01,1.927631717339443052e+00,5.060061746957619233e-01,-5.704907315230429710e-01,-1.916269657784494651e+00,0.000000000000000000e+00
1.832175702470171696e+00,3.779035372681516930e-02,1.841410272104113011e+00,2.675624041168901956e-01,-6.639215506218395513e-01,-1.804934388266933976e+00,0.000000000000000000e+00
1.728610516372882877e+00,-1.690754513438228190e-01,1.747493678747979562e+00,4.326408533419002361e-02,-7.498792405176589737e-01,-1.687123331042039487e+00,0.000000000000000000e+00
1.618439944257053176e+00,-3.604251715253710686e-01,1.646497439058327794e+00,-1.660660150371117416e-01,-8.280893312601843581e-01,-1.563545359383076816e+00,0.000000000000000000e+00
1.502337822915174925e+00,-5.356255276988109992e-01,1.539059660713547828e+00,-3.596951946782149245e-01,-8.983209576800262885e-01,-1.434923631545819811e+00,0.000000000000000000e+00
1.380993781874966464e+00,-6.941353492333283137e-01,1.425837465906635515e+00,-5.369826305130102062e-01,-9.603871282445725077e-01,-1.301991746258697624e+00,0.000000000000000000e+00
1.255109533953311818e+00,-8.355064053080927255e-01,1.307503377825190327e+00,-6.973807051988067940e-01,-1.014144772565591213e+00,-1.165489923318542731e+00,0.000000000000000000e+00
1.125395180139956874e+00,-9.593837621312625297e-01,1.184741703218593845e+00,-8.404358483512588407e-01,-1.059494571729865608e+00,-1.026161227595558723e+00,0.000000000000000000e+00
9.925655467175371616e-01,-1.065505673732233038e+00,1.058244928939492402e+00,-9.657888980187523398e-01,-1.096380576609734092e+00,-8.847478541740152469e-01,0.000000000000000000e+00
8.573365720094393572e-01,-1.153703016146643057e+00,9.287101499219854173e-01,-1.073174990173712429e+00,-1.124789620252062861e+00,-7.419874917005255810e-01,0.000000000000000000e+00
7.204217595566125842e-01,-1.223898276866252521e+00,7.968355455566249468e-01,-1.162422986157322313e+00,-1.144750531336188981e+00,-5.986097802878563856e-01,0.000000000000000000e+00
