x_t,y_t,x_t-1,y_t-1,a_x,a_y,direction
2.126484111814913369e+00,3.045372742937656252e+00,2.067051431580455123e+00,3.223322476319153029e+00,2.468114083600123077e-01,-2.262504501620818065e+00,0.000000000000000000e+00
2.083425703959406405e+00,2.647499236138671108e+00,2.036200572119287511e+00,2.839710868623879225e+00,1.241455193339435770e-01,-2.202658056902388140e+00,0.000000000000000000e+00
2.029140539294640000e+00,2.261510879735840085e+00,1.993878229434251637e+00,2.465621721102775332e+00,6.148704619863856052e-03,-2.132427848071798415e+00,0.000000000000000000e+00
1.964119285944451399e+00,1.889071449580169704e+00,1.940521046573111308e+00,2.102707245189308516e+00,-1.066910307454591034e-01,-2.052366268028492424e+00,0.000000000000000000e+00
1.888895703439319451e+00,1.531744908573933417e+00,1.876611303896797089e+00,1.752531758384225702e+00,-2.139207822579309304e-01,-1.963063118668113782e+00,0.000000000000000000e+00
1.804043157402869912e+00,1.190989693276708117e+00,1.802673636543611346e+00,1.416565731927426075e+00,-3.151242771761088579e-01,-1.865141962742297599e+00,0.000000000000000000e+00
1.710171008608172505e+00,8.681536337331829944e-01,1.719271608695683851e+00,1.096180418943238921e+00,-4.099231949349558812e-01,-1.759256382105683691e+00,0.000000000000000000e+00
1.607920896681197309e+00,5.644695189322376239e-01,1.627004164362816807e+00,7.926430779542976701e-01,-4.979782744380025772e-01,-1.646086162634287087e+00,0.000000000000000000e+00
1.497962938843962366e+00,2.810513168812515117e-01,1.526501974614449697e+00,5.071128034316909616e-01,-5.789902070174538506e-01,-1.526333426056992293e+00,0.000000000000000000e+00
1.380991864102335320e+00,1.889105487808847433e-02,1.418423701303677120e+00,2.406369718282995729e-01,-6.527003149315379060e-01,-1.400718728799992929e+00,0.000000000000000000e+00
1.257723103195256265e+00,-2.211436377982249346e-01,1.303452197339464602e+00,-5.851691655947404910e-03,-7.188910163262035580e-01,-1.269977147707069376e+00,0.000000000000000000e+00
1.128888854435592393e+00,-4.383113258624522501e-01,1.182290663476527115e+00,-2.315374234886483085e-01,-7.773860786217792196e-01,-1.134854372167218850e+00,0.000000000000000000e+00
9.952341452909742037e-01,-6.319979069824070983e-01,1.055658781408962188e+00,-4.357231104188414306e-01,-8.280506632871275086e-01,-9.961028217616533231e-01,0.000000000000000000e+00
8.575129091789244207e-01,-8.017171011897948896e-01,9.242888426766850962e-01,-6.178313603507660234e-01,-8.707911659325636711e-01,-8.544778080354638039e-01,0.000000000000000000e+00
7.164840964881681318e-01,-9.471103012592334558e-01,7.889218925260778059e-01,-7.774049624983624396e-01,-9.055548565817064244e-01,-7.107337584126046659e-01,0.000000000000000000e+00
5.729078382911596545e-01,-1.067945797508754735e+00,6.503039074117354934e-01,-9.141067467084393883e-01,-9.323293258698924779e-01,-5.656205196074238772e-01,0.000000000000000000e+00
