x_t,y_t,x_t-1,y_t-1,a_x,a_y,direction
1.887860991976792135e+00,3.187816878942896004e+00,1.830369806272702071e+00,3.210081757786717560e+00,5.360121812754485050e-03,-1.954821876650112866e+00,0.000000000000000000e+00
1.850340246090069529e+00,2.776437451478206864e+00,1.803844963241088672e+00,2.829211105491640676e+00,-1.037378860913640427e-01,-1.899144577995069971e+00,0.000000000000000000e+00
1.803036595763734873e+00,2.377346618960784586e+00,1.767457208862194928e+00,2.457794874140133867e+00,-2.086832586521228661e-01,-1.833806890350232477e+00,0.000000000000000000e+00
1.746377605204318950e+00,1.992264634549789193e+00,1.721581958554102343e+00,2.097473469897624287e+00,-3.090419683025981135e-01,-1.759322724685282724e+00,0.000000000000000000e+00
1.680828388119112837e+00,1.622808550278891815e+00,1.666633865622888733e+00,1.749800033010534994e+00,-4.044112055938076655e-01,-1.676240794903703701e+00,0.000000000000000000e+00
1.606888570642376113e+00,1.270486309719654150e+00,1.603063999015591046e+00,1.416234528008319060e+00,-4.944207410577487471e-01,-1.585141223846815883e+00,0.000000000000000000e+00
1.525089144788407847e+00,9.366914953615586015e-01,1.531356897955113316e+00,1.098138410231347173e+00,-5.787340995722631831e-01,-1.486632062206477034e+00,0.000000000000000000e+00
1.435989230101006653e+00,6.226987435394296666e-01,1.452027520407690453e+00,7.967698834734034952e-01,-6.570495451773538109e-01,-1.381345739217513913e+00,0.000000000000000000e+00
1.340172761269212476e+00,3.296598361971734836e-01,1.365618102518884047e+00,5.132797603231046280e-01,-7.291008752663781234e-01,-1.269935463961522126e+00,0.000000000000000000e+00
1.238245119490044122e+00,5.860047525977602617e-02,1.272694946251405890e+00,2.487079335907956545e-01,-7.946580240358716019e-01,-1.153071595981625341e+00,0.000000000000000000e+00
1.130829725282100240e+00,-1.895822580900292931e-01,1.173845152468582675e+00,3.980464032154304790e-03,-8.535274760185637133e-01,-1.031438003687352278e+00,0.000000000000000000e+00
1.018564610291325501e+00,-4.141217603515555123e-01,1.069673316632722582e+00,-2.200927135581685345e-01,-9.055524914433359385e-01,-9.057284287205070727e-01,0.000000000000000000e+00
9.020989853846284046e-01,-6.143830833276933134e-01,9.607982041300111575e-01,-4.228194668950929769e-01,-9.506131460569781089e-01,-7.766428740626223348e-01,0.000000000000000000e+00
7.820898220011134327e-01,-7.898634401489325052e-01,8.478494219953541799e-01,-6.036265294253370106e-01,-9.886261889041778606e-01,-6.448840331931772196e-01,0.000000000000000000e+00
6.591984633277265804e-01,-9.401920505734585598e-01,7.314641034944988629e-01,-7.620599571940523953e-01,-1.019544722388335822e+00,-5.111537770619781762e-01,0.000000000000000000e+00
5.340872813895986004e-01,-1.065129339473304571e+00,6.122836216299809564e-01,-8.977849891731464194e-01,-1.043357709725103222e+00,-3.761497150200344697e-01,0.000000000000000000e+00
4.074163955991400021e-01,-1.164565505324181682e+00,4.909503471753099424e-01,-1.010585323609992647e+00,-1.060089315648239827e+00,-2.405618451686787618e-01,0.000000000000000000e+00
2.798404676960232207e-01,-1.238518478283490598e+00,3.681044663120732752e-01,-1.100361825580418174e+00,-1.069798086932103542e+00,-1.050693088382591150e-01,0.000000000000000000e+00
1.520055873369682564e-01,-1.287131290056451549e+00,2.443808723511975700e-01,-1.167130683427944016e+00,-1.072575979952699265e+00,2.966273689750063836e-02,0.000000000000000000e+00
2.454626186420358347e-02,-1.310668880204403308e+00,1.204061453667157888e-01,-1.211021034132618190e+00,-1.068547243118762813e+00,1.629861156230934249e-01,0.000000000000000000e+00
-1.019174770006386344e-01,-1.309514365833192029e+00,-3.204367137611982639e-03,-1.232272079868489634e+00,-1.057867162562945218e+00,2.942724847555981960e-01,0.000000000000000000e+00
-2.267828376197470741e-01,-1.284164803705372560e+00,-1.258493561669701832e-01,-1.231229720070774025e+00,-1.040720679989493913e+00,4.229160342953890428e-01,0.000000000000000000e+00
-3.494668930134910978e-01,-1.235226475740883734e+00,-2.469442322218710073e-01,-1.208342725235005632e+00,-1.017320892026966961e+00,5.483360209396915819e-01,0.000000000000000000e+00
