episode,t,x_t,y_t,heading_t,a_1
20,0,-1.1983252955067378,1.6488892488057394,2.0132093900518075,0
20,1,-1.1983252955067378,1.372360077760823,2.0132093900518075,2
20,2,-1.1983252955067378,1.0958309067159064,2.0132093900518075,2
20,3,-1.1983252955067378,0.81930173567099,2.0132093900518075,2
20,4,-1.1983252955067378,0.5427725646260736,2.0132093900518075,2
20,5,-1.1983252955067378,0.2662433935811571,2.0132093900518075,2
20,6,-1.1983252955067378,-0.01028577746375933,2.0132093900518075,2
20,7,-1.1983252955067378,-0.2868149485086758,2.0132093900518075,2
20,8,-1.1983252955067378,-0.5633441195535922,2.0132093900518075,2
20,9,-1.1983252955067378,-0.5633441195535922,1.0427036220199362,0
20,10,-1.1983252955067378,-0.5633441195535922,1.0427036220199362,3
20,11,-1.1983252955067378,-0.5633441195535922,0.0721978539880648,0
20,12,-1.1983252955067378,-0.2868149485086758,0.0721978539880648,2
20,13,-1.1983252955067378,-0.01028577746375933,0.0721978539880648,2
20,14,-1.1983252955067378,-0.01028577746375933,-0.8983079140438065,0
20,15,-1.1983252955067378,-0.01028577746375933,-0.8983079140438065,5
20,16,-0.9738199667586248,-0.01028577746375933,-0.8983079140438065,2
20,17,-0.7493146380105118,-0.01028577746375933,-0.8983079140438065,2
20,18,-0.5248093092623988,-0.01028577746375933,-0.8983079140438065,2
20,19,-0.3003039805142857,-0.01028577746375933,-0.8983079140438065,2
20,20,-0.07579865176617265,-0.01028577746375933,-0.8983079140438065,2
20,21,0.1487066769819404,-0.01028577746375933,-0.8983079140438065,2
20,22,0.3732120057300534,-0.01028577746375933,-0.8983079140438065,2
20,23,0.5977173344781664,-0.01028577746375933,-0.8983079140438065,2
20,24,0.8222226632262795,-0.01028577746375933,-0.8983079140438065,2
20,25,1.0467279919743926,-0.01028577746375933,-0.8983079140438065,2
20,26,1.2712333207225055,-0.01028577746375933,-0.8983079140438065,2
20,27,1.2712333207225055,-0.01028577746375933,0.0721978539880648,1
20,28,1.2712333207225055,0.2662433935811571,0.0721978539880648,2
20,29,1.2712333207225055,0.5427725646260736,0.0721978539880648,2
20,30,1.2712333207225055,0.81930173567099,0.0721978539880648,2
20,31,1.2712333207225055,1.0958309067159064,0.0721978539880648,2
20,32,1.2712333207225055,1.372360077760823,0.0721978539880648,2
20,33,1.2712333207225055,1.6488892488057394,0.0721978539880648,2
