episode,t,x_t,y_t,heading_t,key_x,key_y,door_x,door_y,goal_x,goal_y,a_1
14,0,-3.0,-6.0,1.0,-6.0,3.0,2.0,-8.0,5.0,5.0,0
14,1,-4.0,-6.0,1.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,2,-5.0,-6.0,1.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,3,-6.0,-6.0,1.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,4,-6.0,-6.0,0.0,-6.0,3.0,2.0,-8.0,5.0,5.0,0
14,5,-6.0,-5.0,0.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,6,-6.0,-4.0,0.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,7,-6.0,-3.0,0.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,8,-6.0,-2.0,0.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,9,-6.0,-1.0,0.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,10,-6.0,0.0,0.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,11,-6.0,1.0,0.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,12,-6.0,2.0,0.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,13,-6.0,2.0,0.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,14,-6.0,2.0,0.0,-6.0,3.0,2.0,-8.0,5.0,5.0,3
14,15,-6.0,2.0,-1.0,-6.0,3.0,2.0,-8.0,5.0,5.0,0
14,16,-6.0,2.0,2.0,-6.0,3.0,2.0,-8.0,5.0,5.0,0
14,17,-6.0,1.0,2.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,18,-6.0,0.0,2.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,19,-6.0,-1.0,2.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,20,-6.0,-2.0,2.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,21,-6.0,-3.0,2.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,22,-6.0,-4.0,2.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,23,-6.0,-5.0,2.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,24,-6.0,-6.0,2.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,25,-6.0,-7.0,2.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,26,-6.0,-8.0,2.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,27,-6.0,-8.0,-1.0,-6.0,3.0,2.0,-8.0,5.0,5.0,1
14,28,-5.0,-8.0,-1.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,29,-4.0,-8.0,-1.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,30,-3.0,-8.0,-1.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,31,-2.0,-8.0,-1.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,32,-1.0,-8.0,-1.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,33,0.0,-8.0,-1.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,34,1.0,-8.0,-1.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,35,1.0,-8.0,-1.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,36,1.0,-8.0,-1.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,37,1.0,-8.0,-1.0,-6.0,3.0,2.0,-8.0,5.0,5.0,5
14,38,2.0,-8.0,-1.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,39,3.0,-8.0,-1.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,40,4.0,-8.0,-1.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,41,5.0,-8.0,-1.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,42,5.0,-8.0,-1.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,43,5.0,-8.0,-1.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,44,5.0,-8.0,-1.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,45,5.0,-8.0,-1.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,46,5.0,-8.0,-1.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,47,5.0,-8.0,0.0,-6.0,3.0,2.0,-8.0,5.0,5.0,1
14,48,5.0,-7.0,0.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,49,5.0,-6.0,0.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,50,5.0,-5.0,0.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,51,5.0,-4.0,0.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,52,5.0,-3.0,0.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,53,5.0,-2.0,0.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,54,5.0,-1.0,0.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,55,5.0,0.0,0.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,56,5.0,1.0,0.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,57,5.0,2.0,0.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,58,5.0,3.0,0.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,59,5.0,4.0,0.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
14,60,5.0,5.0,0.0,-6.0,3.0,2.0,-8.0,5.0,5.0,2
