episode,t,x_t,y_t,heading_t,key_x,key_y,door_x,door_y,goal_x,goal_y,a_1
0,0,-7.0,6.0,-1.0,11,13,13,2,14,14,0
0,1,-6.0,6.0,-1.0,11,13,13,2,14,14,2
0,2,-5.0,6.0,-1.0,11,13,13,2,14,14,2
0,3,-4.0,6.0,-1.0,11,13,13,2,14,14,2
0,4,-3.0,6.0,-1.0,11,13,13,2,14,14,2
0,5,-2.0,6.0,-1.0,11,13,13,2,14,14,2
0,6,-1.0,6.0,-1.0,11,13,13,2,14,14,2
0,7,0.0,6.0,-1.0,11,13,13,2,14,14,2
0,8,1.0,6.0,-1.0,11,13,13,2,14,14,2
0,9,2.0,6.0,-1.0,11,13,13,2,14,14,2
0,10,2.0,6.0,2.0,11,13,13,2,14,14,0
0,11,2.0,6.0,2.0,11,13,13,2,14,14,3
0,12,2.0,5.0,2.0,11,13,13,2,14,14,2
0,13,2.0,4.0,2.0,11,13,13,2,14,14,2
0,14,2.0,3.0,2.0,11,13,13,2,14,14,2
0,15,2.0,2.0,2.0,11,13,13,2,14,14,2
0,16,2.0,1.0,2.0,11,13,13,2,14,14,2
0,17,2.0,0.0,2.0,11,13,13,2,14,14,2
0,18,2.0,-1.0,2.0,11,13,13,2,14,14,2
0,19,2.0,-2.0,2.0,11,13,13,2,14,14,2
0,20,2.0,-3.0,2.0,11,13,13,2,14,14,2
0,21,2.0,-4.0,2.0,11,13,13,2,14,14,2
0,22,2.0,-5.0,2.0,11,13,13,2,14,14,2
0,23,2.0,-6.0,2.0,11,13,13,2,14,14,2
0,24,2.0,-6.0,-1.0,11,13,13,2,14,14,1
0,25,3.0,-6.0,-1.0,11,13,13,2,14,14,2
0,26,3.0,-6.0,-1.0,11,13,13,2,14,14,5
0,27,4.0,-6.0,-1.0,11,13,13,2,14,14,2
0,28,5.0,-6.0,-1.0,11,13,13,2,14,14,2
0,29,5.0,-6.0,0.0,11,13,13,2,14,14,1
0,30,5.0,-5.0,0.0,11,13,13,2,14,14,2
0,31,5.0,-4.0,0.0,11,13,13,2,14,14,2
0,32,5.0,-3.0,0.0,11,13,13,2,14,14,2
0,33,5.0,-2.0,0.0,11,13,13,2,14,14,2
0,34,5.0,-1.0,0.0,11,13,13,2,14,14,2
0,35,5.0,0.0,0.0,11,13,13,2,14,14,2
0,36,5.0,1.0,0.0,11,13,13,2,14,14,2
0,37,5.0,2.0,0.0,11,13,13,2,14,14,2
0,38,5.0,3.0,0.0,11,13,13,2,14,14,2
0,39,5.0,4.0,0.0,11,13,13,2,14,14,2
0,40,5.0,5.0,0.0,11,13,13,2,14,14,2
0,41,5.0,6.0,0.0,11,13,13,2,14,14,2
