episode,t,x_t,y_t,heading_t,key_x,key_y,door_x,door_y,goal_x,goal_y,a_1
1,0,-5.0,-1.0,1.0,-4.0,-4.0,-1.0,-2.0,5.0,5.0,0
1,1,-6.0,-1.0,1.0,-4.0,-4.0,-1.0,-2.0,5.0,5.0,2
1,2,-6.0,-1.0,2.0,-4.0,-4.0,-1.0,-2.0,5.0,5.0,1
1,3,-6.0,-2.0,2.0,-4.0,-4.0,-1.0,-2.0,5.0,5.0,2
1,4,-6.0,-3.0,2.0,-4.0,-4.0,-1.0,-2.0,5.0,5.0,2
1,5,-6.0,-4.0,2.0,-4.0,-4.0,-1.0,-2.0,5.0,5.0,2
1,6,-6.0,-4.0,-1.0,-4.0,-4.0,-1.0,-2.0,5.0,5.0,1
1,7,-5.0,-4.0,-1.0,-4.0,-4.0,-1.0,-2.0,5.0,5.0,2
1,8,-5.0,-4.0,-1.0,-4.0,-4.0,-1.0,-2.0,5.0,5.0,2
1,9,-5.0,-4.0,-1.0,-4.0,-4.0,-1.0,-2.0,5.0,5.0,3
1,10,-5.0,-4.0,0.0,-4.0,-4.0,-1.0,-2.0,5.0,5.0,1
1,11,-5.0,-4.0,-1.0,-4.0,-4.0,-1.0,-2.0,5.0,5.0,0
1,12,-4.0,-4.0,-1.0,-4.0,-4.0,-1.0,-2.0,5.0,5.0,2
1,13,-3.0,-4.0,-1.0,-4.0,-4.0,-1.0,-2.0,5.0,5.0,2
1,14,-2.0,-4.0,-1.0,-4.0,-4.0,-1.0,-2.0,5.0,5.0,2
1,15,-2.0,-4.0,0.0,-4.0,-4.0,-1.0,-2.0,5.0,5.0,1
1,16,-2.0,-3.0,0.0,-4.0,-4.0,-1.0,-2.0,5.0,5.0,2
1,17,-2.0,-2.0,0.0,-4.0,-4.0,-1.0,-2.0,5.0,5.0,2
1,18,-2.0,-2.0,-1.0,-4.0,-4.0,-1.0,-2.0,5.0,5.0,0
1,19,-2.0,-2.0,-1.0,-4.0,-4.0,-1.0,-2.0,5.0,5.0,5
1,20,-1.0,-2.0,-1.0,-4.0,-4.0,-1.0,-2.0,5.0,5.0,2
1,21,0.0,-2.0,-1.0,-4.0,-4.0,-1.0,-2.0,5.0,5.0,2
1,22,1.0,-2.0,-1.0,-4.0,-4.0,-1.0,-2.0,5.0,5.0,2
1,23,2.0,-2.0,-1.0,-4.0,-4.0,-1.0,-2.0,5.0,5.0,2
1,24,3.0,-2.0,-1.0,-4.0,-4.0,-1.0,-2.0,5.0,5.0,2
1,25,4.0,-2.0,-1.0,-4.0,-4.0,-1.0,-2.0,5.0,5.0,2
1,26,5.0,-2.0,-1.0,-4.0,-4.0,-1.0,-2.0,5.0,5.0,2
1,27,5.0,-2.0,0.0,-4.0,-4.0,-1.0,-2.0,5.0,5.0,1
1,28,5.0,-1.0,0.0,-4.0,-4.0,-1.0,-2.0,5.0,5.0,2
1,29,5.0,0.0,0.0,-4.0,-4.0,-1.0,-2.0,5.0,5.0,2
1,30,5.0,1.0,0.0,-4.0,-4.0,-1.0,-2.0,5.0,5.0,2
1,31,5.0,2.0,0.0,-4.0,-4.0,-1.0,-2.0,5.0,5.0,2
1,32,5.0,3.0,0.0,-4.0,-4.0,-1.0,-2.0,5.0,5.0,2
1,33,5.0,4.0,0.0,-4.0,-4.0,-1.0,-2.0,5.0,5.0,2
1,34,5.0,5.0,0.0,-4.0,-4.0,-1.0,-2.0,5.0,5.0,2
